ITEM_DESCRIPTION	CATEGORY	SUPPLIER
"CHICKEN, BREAST FORMED BONELESS"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
rice krispy cereal	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
Muffins Baked Assort Frozen	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
2ND QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Prison Industry Authority
Staple Cartridge for Phaser 7800	"Office Equipment, Accessories and Supplies"	GRANITE DATA SOLUTIONS
Right Side Exit Tray (for       incoming faxes)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
299400.0000 1/2 PINT LOWFAT MILK	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"Pen, Rollerball, grp, mcr, be"	"Office Equipment, Accessories and Supplies"	Cole Office Products
"Workrite Willow, silver"	Furniture and Furnishings	Western Contract Furnishers
"Boneless, 50 lb/cs"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Plus Revitalized MSF	Furniture and Furnishings	3B INDUSTRIES INC
"FOLDER, 2FSTNR,LL,50,BE"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
Digital Color Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Task Chairs with arms	Furniture and Furnishings	Prison Industry Authority
Red Ink Cartridge	"Office Equipment, Accessories and Supplies"	BLAISDELL'S BUSINESS PRODUCTS
electric sit-to-stand	Furniture and Furnishings	Prison Industry Authority
Black toner for CP3525	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"CHEESE, PARMESEAN"	Food Beverage and Tobacco Products	Seacat Enterprises
5 YEAR MAINTENANCE	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Exercise tubing w/handles Level 10	"Sports, Recreational Equipment and Supplies and Accessories"	GP Industries Inc
"1ST QUARTER FOOD ORDERS, FY 2013/2014"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
Digital Black & White Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Applesauce, Diced Carrots"	Food Beverage and Tobacco Products	Golden State Provisions INC.
Red Ball Point Pens	"Office Equipment, Accessories and Supplies"	MMG Technology Group Inc
"Toner Cartridge, Cyan"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
cookies Snickerdoodle	Food Beverage and Tobacco Products	Prison Industry Authority
Gallery Lounge Chair - Taupe	Furniture and Furnishings	Prison Industry Authority
Samsung MLT-D307E Black	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
MX-M4141N - Digital Color Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Toner Cartridge, Cyan, HP641A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Toner Cartridge, HP 42X, Black, High yield,"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Grove High Back Ergonomic Chair	Furniture and Furnishings	3B INDUSTRIES INC
Yellow Print Cartridge F/ CP6015/CM6040 MFP	"Office Equipment, Accessories and Supplies"	Technology Integration Group
copier overages.	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Peanut Butter, Squeezers"	Food Beverage and Tobacco Products	Prison Industry Authority
Copier Sharp MX-M453N	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
BUTTERMILK BISCUIT MIX	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
"marker, chisel point"	"Office Equipment, Accessories and Supplies"	Value Business Products
Cambria task chair with arms.	Furniture and Furnishings	3B INDUSTRIES INC
"HILIGHTER,BRITELN5/ST,AST"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"9000710X,MXM453UJ, WARDEN'S OFFICE"	"Office Equipment, Accessories and Supplies"	Scott Tanner Business Equipment
"pressboard report cover, black"	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
WIRE ORGANIZER FOR DOCUMENTS	Furniture and Furnishings	THE PRIMARY SOURCE
HP 634A (Q5951A) CYAN ORIGINAL LASER JET	"Office Equipment, Accessories and Supplies"	Technology Integration Group
toner for investigations	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Install ride control per ETB	Furniture and Furnishings	TRACY PONT-CAD-GMC
PEAS & CARROTS  55 LB/CS	Food Beverage and Tobacco Products	Food Service Systems Inc
"BOX, STORAGE, WE"	"Office Equipment, Accessories and Supplies"	River City Office Supply
Toner Cartridge - Magenta	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"BOOK, APT, 14MO, 8.5x11, BK"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
HP Toner Genuine Blk 1.6K Smart Print Cart	"Office Equipment, Accessories and Supplies"	Technology Integration Group
postage meters-rental	"Office Equipment, Accessories and Supplies"	Pitney Bowes
black toner cartridge	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"2,000 Sheet Tandem paper Drawer"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
BIC Ball Point Pen	"Office Equipment, Accessories and Supplies"	MMG Technology Group Inc
Fresh Produce Week Eight (8) 3rd Quarter	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Folder, Pendaflex Class., Ylw, #ESS1257Y"	"Office Equipment, Accessories and Supplies"	Pacific Copier & Computer
"Surge Protector (120V, 20AMP) #AR-D5143NT"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Boston Chair w/o Headrest	Furniture and Furnishings	3B INDUSTRIES INC
"15,000 staplers in a box"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"PROTECTOR,SHEET,CLR,8-1/2"" X 11"""	"Office Equipment, Accessories and Supplies"	"WALKERS OFFICE SUPPLIES, INC."
modular furniture	Furniture and Furnishings	3B INDUSTRIES INC
SWINGLINE 545 ANT DESK STAPLER#908210	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
WHEAT FARINA  40 BGS	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
Milk Blanket order	Food Beverage and Tobacco Products	Prison Industry Authority
"Binder .5"" view, white"	"Office Equipment, Accessories and Supplies"	Prison Industry Authority
report covers acco17028	"Office Equipment, Accessories and Supplies"	River City Office Supply
POULTRY SALAMI AND CHEESE	Food Beverage and Tobacco Products	McGinty Sales Company
100% Whole Wheat Bread	Food Beverage and Tobacco Products	3B INDUSTRIES INC
sports equipment	"Sports, Recreational Equipment and Supplies and Accessories"	"CHALLENGE MASTERS, INC"
table top 30x48 posform edge	Furniture and Furnishings	"MB Contract Furniture, Inc."
Printer Supplies	"Office Equipment, Accessories and Supplies"	Crimson Imaging Supplies
trail mix  j. beans	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
"BOX,STG.LET/LEG 4-PK WHT"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
Verbatim DVD-Rx100-4.7 GB Storage Media	Furniture and Furnishings	"Statestore, Inc"
PRINTER TONER (MLT-D307E)	"Office Equipment, Accessories and Supplies"	M & M ASSOCIATES
toner for MFD copiers	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Page reinforcements	"Office Equipment, Accessories and Supplies"	ECONOMY OFFICE SUPPLY COMPANY
"FLDR, HANG, LTR, 1/5, GN SBRA"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"CABINET,STORAGE,STEEL,12-GA,78""X36""X24"""	Furniture and Furnishings	Grainger Industrial Supply
"MAILER,JIFFY CD,BRKR"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
Photo Evidence Folding Scale	"Office Equipment, Accessories and Supplies"	Sirchie
LOAF SLICED WHEAT BREAD	Food Beverage and Tobacco Products	Prison Industry Authority
"ONIONS, RED DICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Garbanzo Beans, Canned"	Food Beverage and Tobacco Products	ABC Ventures LLC
Toner Cartridges for Restock	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"FASTENER, BRASS, 1.5""RND HD"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
Lexmark MFP Printer	"Office Equipment, Accessories and Supplies"	JAMES E MALONEY
HALAL BREADED CHICKEN PATTY	Food Beverage and Tobacco Products	SILVER FOODS EXPRESS DISTRIBUTION
TN450 HIGH YIELD BLACK TONER CARTRIDGE	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Index tab dividers	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"Surge Protector (120V, 15AMP)"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"CALENDAR, WALL, YEARLY"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Surge Protector (120V, 15AMP) #AR-D5133NT"	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Turkey Pastarami, Round or Brisket"	Food Beverage and Tobacco Products	McGinty Sales Company
"LASER PRINTABLE INDEX TABS, 7/16 INCH, WHITE"	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
HOUSING UNIT SHELVING	Furniture and Furnishings	3B INDUSTRIES INC
Fish breaded Fish raw	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"Black Ink, Impression 2 x.5"""	"Office Equipment, Accessories and Supplies"	Value Business Products
4TH QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Food Service Systems Inc
Box Lunch Halal Cheese men	Food Beverage and Tobacco Products	McGinty Sales Company
"EGGS, FRESH IN SHELL"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"Fastener, Brass, 1"",Rnd,HD"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
varied salad dressing packets	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"PILOT G2, BLACK, 0.5, PEN"	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
Apples red or green	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"STAPLES,CHSEL PT,5M/BX"	"Office Equipment, Accessories and Supplies"	"Garza Industries, Inc"
"PLNR, WALL, HORZ, MRKR"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
fruit juice bars	Food Beverage and Tobacco Products	MENDOZA DISTRIBUTING
"CHICKEN,  B/S-DARK CUBES PLAIN"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Individually Packaged Cereal	Food Beverage and Tobacco Products	Adolph Inc.
3RD QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	SIMCO FOODS
CARTRIDGE HP LASER JET 1020 3015 3020 30	"Office Equipment, Accessories and Supplies"	Technology Integration Group
jelly grape indivdual	Food Beverage and Tobacco Products	Prison Industry Authority
"MECHANICAL PENCIL REFILLS, 0.7MM"	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
FUJITSU SCANSNAP IX800 DOCUMENT SCANNER	"Office Equipment, Accessories and Supplies"	Main Street Technologies
"PEN,ROUND STIC,MED,RD"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Cartridge, SAMSUNG Toner, Blk, #K609"	"Office Equipment, Accessories and Supplies"	M & M ASSOCIATES
"Boneless Dark Cubes, Fajita Verde Cruz"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"CLIP#1,GEM,SMOOTH,1M/PK"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
Star Tech VGA Ext Cable MXT101HQ10	Furniture and Furnishings	Angus Hamer Networking
"PROTECTOR,SHT,LT,TPLD,SCL"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Juice, Orange , Unsweetened"	Food Beverage and Tobacco Products	Seacat Enterprises
"MANILA, LETTER, 2 PLY, 4 END."	"Office Equipment, Accessories and Supplies"	National Office Solutions
4th Qtr blanket order for coffee	Food Beverage and Tobacco Products	3B INDUSTRIES INC
BUFFALO FRIED CHICKEN BREAST	Food Beverage and Tobacco Products	Mid Atlantic Correctional Supply
"Index, Legal, Sdtab,2"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"FISH, TUNA, CANNED"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
Kosher Breakfast	Food Beverage and Tobacco Products	Elements Food Group
"TORTILLA, FLOUR, 8"""	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"Carrots, shredded"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
Chicken Egg Rolls	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"ONIONS, CHOPPED 45 LB/CS"	Food Beverage and Tobacco Products	Food Service Systems Inc
"Vinyl 3-Ring Binder - Full View, White"	"Office Equipment, Accessories and Supplies"	3B INDUSTRIES INC
Network print controller	"Office Equipment, Accessories and Supplies"	Sharp Electronics Corporation
"TONER CARTRIDGE,PRINTER,CYAN,HP #C9731A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
corn cut 55#(d11)50443200	Food Beverage and Tobacco Products	Food Service Systems Inc
"REFILL, G-2,FN,BK & BE"	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
cake mix brownie	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
HR C6692R Red Ink Cartridge	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
"6DYX3 - Standard Flat Washer, #6"	Furniture and Furnishings	Grainger Industrial Supply
TENTS FOR GOING FIRE	"Sports, Recreational Equipment and Supplies and Accessories"	"El Dorado Water & Shower Service, Inc."
Cereal Crisp Rice	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"SAUSAGE PATTY, BREAKFAST, 2 OZ EA"	Food Beverage and Tobacco Products	"National Food Group, Inc."
"Poultry, 160/2oz/cs"	Food Beverage and Tobacco Products	McGinty Sales Company
"PUSHPIN,PLAS,100/PK,RW"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
MX-PNX6B 2/3-Hole Punch Unit	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Meat, produce, pasta"	Food Beverage and Tobacco Products	Sysco - Sacramento
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
bell pepper chopping US# 2 25lb/cs	Food Beverage and Tobacco Products	Bonanza Produce
Canon Pgi-35 Black Ink Cartridge	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Blanket PO for Chicken	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Concourse mobile drawer pedestal	Furniture and Furnishings	3B INDUSTRIES INC
Expandable Files	"Office Equipment, Accessories and Supplies"	Merritt Business Supplies
beans lima dry 50lb/bg	Food Beverage and Tobacco Products	INTERSECT USA
"FOLDER,MLA,FSTNR,LTR"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Inmate feeding: eggs, fresh 2nd quar."	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Toner Cartridges	"Office Equipment, Accessories and Supplies"	"CRIMSON IMAGING SUPPLIES, LLC"
"PEPPER, CAYENNE (4/5 LB)"	Food Beverage and Tobacco Products	Majestic Intl Spice Corporation
MX-PNX5B 2/3-Hole Punch Unit	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"AVT Clip, Panel, Wall, Ast"	"Office Equipment, Accessories and Supplies"	"WALKERS OFFICE SUPPLIES, INC."
"Toner Cartridge, Yellow"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"TONER CARTRIDGE,PRINTER,CYAN,HP #C9731A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
1NB61 - Self Tapping Sheet Metal Screws	Furniture and Furnishings	Grainger Industrial Supply
"HP BLACK Toner, CB400A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"PROTECTOR,SHEET,CLR,8-1/2"" X 11"""	"Office Equipment, Accessories and Supplies"	Walker's Office Supplies
"blanket order, fire meals, food products only"	Food Beverage and Tobacco Products	US Food Service
SAMSUNG MLT-D105L TONER; Black Ink	"Office Equipment, Accessories and Supplies"	MMG Technology Group Inc
round hole labels	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"Chair, Avalon, Ergo. Ebony, Fabric 682900.0200"	Furniture and Furnishings	3B INDUSTRIES INC
"ONION, CHOPPED FROZEN"	Food Beverage and Tobacco Products	Food Service Systems Inc
Apple Doughnut Fritters 3 OZ 84/CS	Food Beverage and Tobacco Products	Clipper Commodities Inc.
"potato, cylindrical"	Food Beverage and Tobacco Products	French Fry Xpress
encoder consumable supplies	"Office Equipment, Accessories and Supplies"	Burroughs Payment Systems Inc
MILK - 1/2 PINT AND 6 GALLON NON-FAT	Food Beverage and Tobacco Products	3B INDUSTRIES INC
FISH NON BREADED	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
sausage link breakfast	Food Beverage and Tobacco Products	Prison Industry Authority
vase for EE retirement gift	Furniture and Furnishings	MTM RECOGNITION
CLEANING PRODUCT	"Office Equipment, Accessories and Supplies"	Grainger
2ND QUARTER FOOD ORDER	Food Beverage and Tobacco Products	Highland Wholesale Foods Inc
Conference Table	Furniture and Furnishings	3B INDUSTRIES INC
Cereal rolled oats	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
ERASER PENCIL TOP	"Office Equipment, Accessories and Supplies"	"Central Valley Office Supply, Inc."
"toner cartridge, HP 55A, Black"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"CLIN# 100, MEN'S WATCH, 25 YR SERVICE"	"Sports, Recreational Equipment and Supplies and Accessories"	MTM RECOGNITION
Index Dividers 1-12	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
LEGAL SIZE FOLDERS	"Office Equipment, Accessories and Supplies"	THE PRIMARY SOURCE
"MOZZARELLA CHEESE, 5 LB BLOCK"	Food Beverage and Tobacco Products	Seacat Enterprises
"POCKET,FILE,LTR,STR,5.25"""	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
hp ce270a Black toner	"Office Equipment, Accessories and Supplies"	BLAISDELL'S BUSINESS PRODUCTS
office panel accessories	Furniture and Furnishings	Allsteel Inc
"CHAIR,MANHATTAN,#682700"	Furniture and Furnishings	3B INDUSTRIES INC
"HP 29X, Black, High Yield"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Toner Cartridge, HP 11A, Black"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Modular system furntirue	Furniture and Furnishings	Western Contract Furnishers
HP CC364A 1007178	"Office Equipment, Accessories and Supplies"	Midtown Stationers
"Beef Ravioli in Tomato Sauce, Canned"	Food Beverage and Tobacco Products	ABC Ventures LLC
Breakfast Pastry	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
MX-TRX2 Right Side Exit Tray	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
8.5 x 11 pressboard green folders	"Office Equipment, Accessories and Supplies"	"Garza Industries, Inc"
Cheese Sauce Mix	Food Beverage and Tobacco Products	C J FOODS
"pudding, vanilla"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
"breaded fish, pollock"	Food Beverage and Tobacco Products	Seafood Dimensions Intn'l Inc.
"Room Rental for Board Meeting November 13, 2014"	Furniture and Furnishings	Mission Inn Corporation
Base Unit  2 Door  (48 x 22 x 36)	Furniture and Furnishings	SCHANTIN INSURANCE SERVICES
YELLOW DRY ONIONS	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"cheese, parmesan"	Food Beverage and Tobacco Products	Seacat Enterprises
Toner Cartridge - Yellow	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"3-4012  6""X9 5/8"" Booklet Plain Envelope"	"Office Equipment, Accessories and Supplies"	Paper Distributors Inc
2ND QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
complete kosher boxed lunch meals 24/cs	Food Beverage and Tobacco Products	Elements Food Group
"Ink Cartridge, HP 93 TriColor"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Custom Stamps and toner	"Office Equipment, Accessories and Supplies"	THE OFFICE CITY
Toner Laserjet Q7551X	"Office Equipment, Accessories and Supplies"	"Advantage Imaging Supply, Inc"
foodstuffs for on going fire	Food Beverage and Tobacco Products	US Foodservice
Cereal Hominy Grits	Food Beverage and Tobacco Products	"San Joaquin Distributors, Inc."
stuffed cabbage dinner	Food Beverage and Tobacco Products	Elements Food Group
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Adolph Inc.
"VINYL 3 RING BINDERS, WHITE, 1"""	"Office Equipment, Accessories and Supplies"	Prison Industry Authority
"CUCUMBERS, SLICED"	Food Beverage and Tobacco Products	"Superior Produce, Inc."
"Tape, Correction, 10PK Wht"	"Office Equipment, Accessories and Supplies"	National Office Solutions
NEW SAN MARCOS TRAINING FACILITY	Furniture and Furnishings	Prison Industry Authority
"DR400 Drum unit, Black"	"Office Equipment, Accessories and Supplies"	Pacific Copier & Computer
"Kensington High Back Chair, Fabric, Black Onyx"	Furniture and Furnishings	3B INDUSTRIES INC
LINE REFILL PAGES	"Office Equipment, Accessories and Supplies"	River City Office Supply
1/5 Tab Hanging Folders	"Office Equipment, Accessories and Supplies"	"Hoffman Technologies, Inc."
"Applied Concepts, Inc., Part # 090-0140-00"	"Sports, Recreational Equipment and Supplies and Accessories"	"RHF, Inc."
"HIGHLIGHTER, MAJOR ACCENT, S959"	"Office Equipment, Accessories and Supplies"	"EXPRESS Office Products, Inc."
"Madera Task Chair, Fabric Ebony"	Furniture and Furnishings	3B INDUSTRIES INC
"Pilot Precise Rollerball Pens, blue"	"Office Equipment, Accessories and Supplies"	Walker's Office Supplies
pressboard classification red folder	"Office Equipment, Accessories and Supplies"	"THE REAL EARTH, Inc."
Box Lunch Tuna men	Food Beverage and Tobacco Products	McGinty Sales Company
1ST QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	Adolph Inc.
3RD QUARTER FOOD ORDERS	Food Beverage and Tobacco Products	ABC Ventures LLC
Modular Systems Furniture	Furniture and Furnishings	3B INDUSTRIES INC
BOTHER COMP TN650BLACK CBTN650	"Office Equipment, Accessories and Supplies"	Pacific Copier & Computer
Magenta Toner Cartridge	"Office Equipment, Accessories and Supplies"	NWN Corporation
"~STAMP,UNV MES CONFIDTL,RD"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Beef for Stewing, 12"" Standard Cut"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
TONER NEEDED FOR VARIOUS OFFICE PRINTERS	"Office Equipment, Accessories and Supplies"	Technology Integration Group
MX-PKX1 - Post Script Expansion Kit	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"TONER CARTRIDGE,PRINTER,BLK,HP #C9730A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"Moistener,Fingertip,3PK,PK"	"Office Equipment, Accessories and Supplies"	National Office Solutions
Stamp Refill Ink	"Office Equipment, Accessories and Supplies"	"Office Supply Company, Inc."
oranges manderin	Food Beverage and Tobacco Products	Golden State Provisions INC.
"Juice, 10%, Cranberry Juice"	Food Beverage and Tobacco Products	Christian Bartels Enterprises Inc. dba CB Enterprises
4' Round Fire Rings with grill	Furniture and Furnishings	"Outdoor Creations, Inc."
"Twin-Pocket Folder, Light Blue"	"Office Equipment, Accessories and Supplies"	Burkett's Office Supplies
correction fluid	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
"COLORED END TAB FOLDERS, PURPLE"	"Office Equipment, Accessories and Supplies"	"Horizon Business Solutions, Inc."
Footrest Black 700900.1000	Furniture and Furnishings	Prison Industry Authority
"Binder, Recycled, 4"" D- Ring, Black"	"Office Equipment, Accessories and Supplies"	O'LEARY'S OFFICE PRODUCTS
Facility feeding: snack foods    2nd quar.	Food Beverage and Tobacco Products	"Titus Enterprises, Inc."
"Lanyards, Card reel, 12, clear"	"Sports, Recreational Equipment and Supplies and Accessories"	River City Office Supply
Brother TN350 toner	"Office Equipment, Accessories and Supplies"	Technofix Office Products
varied fresh product	Food Beverage and Tobacco Products	"Alpha Wholesale Produce, Inc."
bread   whole wheat	Food Beverage and Tobacco Products	Sara Lee (Earthgrains)
HP Toner Cartridge Q7551XD Black	"Office Equipment, Accessories and Supplies"	Technology Integration Group
"HILIGHTER,BRITELN5/ST,AST"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
Staging for fire crews on Fire incident	"Sports, Recreational Equipment and Supplies and Accessories"	ABEL EMERGENCY SUPPORT
"Toner Cartridge, 30,000 Pages Yield"	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
"DINNER ROLLS, WHEAT"	Food Beverage and Tobacco Products	Seacat Enterprises
MX-M453N Digital Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
ESS w/8X5XNDB Precision USB Min Ord	Furniture and Furnishings	Cisco Systems Inc.
SAMSUNG MLT D307S	"Office Equipment, Accessories and Supplies"	Premier Computer Supplies
"Pretzels, Sunflower Seeds, Tropical Mix"	Food Beverage and Tobacco Products	SNAK CLUB INCORPORATED
"GRILL OIL, BUTTER FLAVORED"	Food Beverage and Tobacco Products	Adolph Inc.
Dehydrated refriend beans	Food Beverage and Tobacco Products	KD Foods
"nonfat,1/2pint, 70 per crate"	Food Beverage and Tobacco Products	Prison Industry Authority
Boston Chair with headrest Black	Furniture and Furnishings	Prison Industry Authority
"TABLE, PICNIC 11TA-131PM"	Furniture and Furnishings	TRAUT LINE INDUSTRIAL
FRUIT COCKTAIL CANNED	Food Beverage and Tobacco Products	Golden State Provisions INC.
50 lb/cs  differential + $0.57	Food Beverage and Tobacco Products	Prison Industry Authority
Toner Cartridges	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Ink Cartridge HP 93 Tricolor	"Office Equipment, Accessories and Supplies"	Technology Integration Group
OSA Network Scanner Tool Kit (5 licenses)	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"TONER CARTRIDGE,PRINTER,CYAN,HP #C9731A"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
196000.0000 Floor Finish Powerhouse 4gl/CS	Cleaning Equipment and Supplies	3B INDUSTRIES INC
"Apple/Pear Juice, Ind 4 Oz"	Food Beverage and Tobacco Products	3B INDUSTRIES INC
"INDUSTRIAL  MARKER, FINE, BLACK"	"Office Equipment, Accessories and Supplies"	Grainger Industrial Supply
"FLUID,CORR,FSTDRY,3PK,WE"	"Office Equipment, Accessories and Supplies"	Office Xpress Inc
"Ink Cartridge, HP 98, Black"	"Office Equipment, Accessories and Supplies"	Technology Integration Group
Chair counter height 680501.0200	Furniture and Furnishings	3B INDUSTRIES INC
HOT LINKS SAUSAGES  254400.0050	Food Beverage and Tobacco Products	3B INDUSTRIES INC
Data Security Kit Sharp MX-FR23U	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
"Toner Cartridge, 30,000 Pages Yield"	"Office Equipment, Accessories and Supplies"	Western Blue Corporation
"TAPE,COVR-UP/LBL,POSTIT,1"""	"Office Equipment, Accessories and Supplies"	GORILLA STATIONERS LLC
2 oz. squeezer 200 per case	Food Beverage and Tobacco Products	Prison Industry Authority
Nonfat Milk 299200.0000	Food Beverage and Tobacco Products	3B INDUSTRIES INC
CHICKEN HIND QUARTERS	Food Beverage and Tobacco Products	Prison Industry Authority
HAMBURGER BUNS 1DZ/PKG	Food Beverage and Tobacco Products	Earthgrains/Sara Lee
299200.0000 Milk Nonfat	Food Beverage and Tobacco Products	3B INDUSTRIES INC
MX-M453N Digital Copier/Printer/Scanner	"Office Equipment, Accessories and Supplies"	"Smile Business Products, Inc"
Open Office Systems	Furniture and Furnishings	Prison Industry Authority
Toner Brand New HP Laserjet P3015X  55A	"Office Equipment, Accessories and Supplies"	Midtown Stationers
